0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,score,eval_times,iter_times
0.6,0.1,0.4,0.7,0.3,0.3,0.5,0.7,0.2,1.0,0.2,0.9,0.7,0.8,1.0,0.6,0.9,0.3,0.5,0.7,0.6,0.5,0.6,0.1,0.4,0.4,0.3,0.5643511763640453,144221.23871850967,144268.84588861465
0.5,0.5,0.6,1.0,0.2,0.8,0.6,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,0.6,0.6,0.0,0.4,0.3,0.2,0.5828323270169731,144221.23871850967,144268.84588861465
0.5,0.5,0.7,1.0,0.2,0.8,0.6,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,0.6,0.6,0.0,0.4,0.3,0.2,0.580139770787464,144221.23871850967,144268.84588861465
0.1,0.8,0.6,1.0,0.1,0.8,1.0,0.9,1.0,0.4,0.4,0.1,0.4,1.0,0.0,0.4,0.9,0.9,0.1,0.4,0.0,1.0,0.6,0.0,0.4,0.3,0.2,0.565983621652133,144221.23871850967,144268.84588861465
0.5,0.8,0.6,1.0,0.9,0.8,0.6,0.8,0.1,0.4,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,0.6,0.6,0.0,0.4,0.3,0.9,0.5736991834644173,144221.23871850967,144268.84588861465
0.5,0.5,0.6,1.0,0.1,0.8,0.6,0.8,0.1,0.4,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,0.6,0.6,0.4,0.4,0.7,0.2,0.5932009590120848,144221.23871850967,144268.84588861465
0.5,0.5,0.6,1.0,0.1,0.8,0.6,0.9,0.1,0.4,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.4,0.0,0.6,0.6,0.4,0.4,0.7,0.2,0.5693352303715139,144221.23871850967,144268.84588861465
0.5,0.5,0.6,1.0,0.1,0.8,0.6,0.8,0.1,0.4,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,0.6,0.6,0.4,0.4,0.7,0.2,0.5932009590120848,144221.23871850967,144268.84588861465
0.5,0.5,0.6,1.0,0.1,0.8,0.6,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.0,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.4,0.4,0.7,0.9,0.5749357458967898,144221.23871850967,144268.84588861465
0.1,0.5,0.6,1.0,0.9,0.8,1.0,0.8,0.1,0.4,0.4,0.1,0.4,1.0,0.0,0.4,0.9,0.9,0.1,0.6,0.0,0.6,0.6,0.4,0.4,0.7,0.2,0.581939065977281,144221.23871850967,144268.84588861465
0.5,0.5,0.6,1.0,0.9,0.8,0.6,0.8,0.1,0.4,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.4,0.4,0.7,0.2,0.5872714764372009,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.9,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.4,0.4,0.7,0.2,0.614281067221921,144221.23871850967,144268.84588861465
0.5,0.8,0.6,1.0,0.9,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.4,0.4,0.7,0.2,0.6031753912580992,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.9,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.4,0.4,0.3,0.2,0.6006847765500376,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.9,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.0,0.4,0.7,0.2,0.6241097257322461,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.9,0.8,1.0,0.9,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.0,0.4,0.7,0.2,0.6029200114896239,144221.23871850967,144268.84588861465
0.1,0.8,0.7,1.0,0.9,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.0,0.4,0.7,0.2,0.5985114607877341,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.9,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.2,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.0,0.4,0.7,0.2,0.6020232500816053,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.9,0.8,1.0,0.8,1.0,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.4,0.4,0.7,0.2,0.5361533067815972,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.9,0.8,1.0,0.8,0.1,0.4,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.0,0.4,0.7,0.2,0.5987788716249394,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.2,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.0,0.4,0.7,0.2,0.6096734390769915,144221.23871850967,144268.84588861465
0.1,0.8,0.7,1.0,0.1,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.0,0.4,0.7,0.2,0.5873564338752684,144221.23871850967,144268.84588861465
0.5,0.5,0.7,1.0,0.9,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.0,0.4,0.7,0.2,0.6031147778198902,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.9,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.6,0.0,0.7,0.6,0.0,0.4,0.7,0.2,0.6089401607551332,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.9,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.5,0.4,0.9,0.9,0.1,0.4,0.0,1.0,0.6,0.0,0.4,0.7,0.2,0.6027819387626557,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.2,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.0,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.0,0.4,0.7,0.2,0.614621896282076,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.2,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.0,0.4,0.9,0.9,0.1,0.6,0.0,0.6,0.6,0.0,0.4,0.7,0.2,0.5918847725457803,144221.23871850967,144268.84588861465
0.5,0.8,0.7,1.0,0.2,0.8,1.0,0.8,0.1,0.6,0.4,0.1,0.4,1.0,0.0,0.4,0.9,0.9,0.1,0.6,0.0,1.0,0.6,0.0,0.4,0.3,0.2,0.5827215624962968,144221.23871850967,144268.84588861465
