0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,score,eval_times,iter_times
0.2,0.1,0.2,0.3,0.3,0.0,0.1,0.9,0.7,0.0,0.9,0.9,0.0,0.4,0.0,0.9,0.4,1.0,0.8,0.6,1.0,0.8,0.0,0.0,0.4,0.4,0.6,0.5480452673139524,46496.14126896858,46523.2902007103
0.5,0.9,0.5,0.3,0.6,0.4,0.5,0.7,0.8,0.1,0.3,0.9,0.8,0.8,0.3,0.7,0.7,0.2,0.5,1.0,0.3,0.8,0.1,0.9,0.1,0.8,0.5,0.5681965121676893,46496.14126896858,46523.2902007103
0.6,0.9,0.5,0.3,0.6,0.4,0.5,0.7,0.8,0.1,0.3,0.9,0.8,0.8,0.3,0.7,0.7,0.2,0.5,1.0,0.3,0.8,0.1,0.9,0.1,0.8,0.5,0.5663815427596134,46496.14126896858,46523.2902007103
0.5,0.9,0.5,1.0,1.0,0.4,0.9,0.1,1.0,0.4,0.1,0.0,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.1,0.8,0.4,0.5780394361883641,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,1.0,0.4,0.9,0.1,1.0,0.4,0.1,0.0,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5774237198614004,46496.14126896858,46523.2902007103
0.5,0.9,0.5,1.0,1.0,0.4,0.9,0.1,1.0,0.4,0.1,0.0,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.8,0.4,0.5700027356920724,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,1.0,0.4,0.9,0.1,1.0,0.4,0.1,0.0,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.1,0.0,0.4,0.5699631109266704,46496.14126896858,46523.2902007103
0.5,0.9,0.5,0.3,1.0,0.4,0.9,0.1,1.0,0.4,0.1,0.0,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.1,0.8,0.4,0.577825016256298,46496.14126896858,46523.2902007103
0.5,0.9,0.5,0.3,1.0,0.4,0.9,0.1,1.0,0.4,0.1,0.0,0.8,0.8,0.8,0.7,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.1,0.8,0.4,0.5741441715660613,46496.14126896858,46523.2902007103
0.5,0.9,0.5,0.3,1.0,0.4,0.9,0.7,1.0,0.4,0.1,0.0,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.1,0.8,0.4,0.5500639508347942,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,1.0,0.4,0.9,0.1,0.8,0.1,0.1,0.9,0.8,0.8,0.8,0.7,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5818604041696112,46496.14126896858,46523.2902007103
0.5,0.9,0.5,1.0,1.0,0.4,0.9,0.1,1.0,0.4,0.1,0.9,0.8,0.8,0.3,0.7,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5820630010935995,46496.14126896858,46523.2902007103
0.5,0.9,0.5,1.0,0.6,0.4,0.9,0.1,1.0,0.4,0.1,0.9,0.8,0.8,0.8,0.7,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.5,0.574158045194867,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,1.0,0.4,0.5,0.1,0.8,0.1,0.1,0.9,0.8,0.8,0.3,0.7,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5807565504157163,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,1.0,0.4,0.9,0.1,0.8,0.1,0.1,0.9,0.8,0.8,0.3,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5789993701484218,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,1.0,0.4,0.9,0.1,0.8,0.1,0.1,0.9,0.8,0.8,0.3,0.7,0.7,0.2,0.5,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.55657841066272,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,1.0,0.4,0.5,0.1,1.0,0.4,0.1,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5820434829079393,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,1.0,0.4,0.5,0.1,1.0,0.4,0.1,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5820434829079393,46496.14126896858,46523.2902007103
0.5,0.9,0.5,1.0,1.0,0.4,0.5,0.1,1.0,0.4,0.1,0.9,0.8,0.8,0.8,0.7,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5792320350167175,46496.14126896858,46523.2902007103
0.5,0.9,0.5,1.0,1.0,0.4,0.5,0.1,1.0,0.4,0.1,0.9,0.8,0.8,0.3,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5777932133242341,46496.14126896858,46523.2902007103
0.5,0.9,0.5,1.0,1.0,0.4,0.5,0.1,0.8,0.1,0.3,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5814793535181033,46496.14126896858,46523.2902007103
0.5,0.9,0.5,1.0,1.0,0.4,0.5,0.1,1.0,0.4,0.1,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.1,0.8,0.4,0.5726493323879843,46496.14126896858,46523.2902007103
0.6,0.9,0.5,0.3,1.0,0.4,0.5,0.1,0.8,0.4,0.1,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.1,0.8,0.1,1.0,0.9,0.0,0.4,0.5793274101856691,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,1.0,0.4,0.5,0.1,1.0,0.1,0.1,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.3,0.8,0.1,1.0,0.9,0.0,0.4,0.5951087940606499,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,1.0,0.4,0.5,0.1,1.0,0.1,0.1,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.3,0.8,0.1,0.9,0.9,0.0,0.5,0.5865798864027414,46496.14126896858,46523.2902007103
0.5,0.9,0.5,1.0,1.0,0.4,0.5,0.1,1.0,0.1,0.1,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.3,0.8,0.1,1.0,0.9,0.0,0.4,0.593178443489483,46496.14126896858,46523.2902007103
0.6,0.9,0.5,1.0,0.6,0.4,0.5,0.1,1.0,0.1,0.1,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.3,0.8,0.1,1.0,0.9,0.0,0.4,0.5759159066713052,46496.14126896858,46523.2902007103
0.5,0.9,0.5,1.0,1.0,0.4,0.9,0.1,1.0,0.1,0.1,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.3,0.8,0.1,1.0,0.9,0.0,0.4,0.5888787346640051,46496.14126896858,46523.2902007103
0.5,0.9,0.5,0.3,1.0,0.4,0.9,0.1,1.0,0.1,0.1,0.9,0.8,0.8,0.8,0.2,0.7,0.2,0.3,1.0,0.3,0.8,0.1,1.0,0.9,0.0,0.4,0.5865742015235659,46496.14126896858,46523.2902007103
0.5,0.9,0.5,0.3,1.0,0.4,0.5,0.1,1.0,0.1,0.1,0.9,0.8,0.8,0.8,0.7,0.7,0.2,0.3,1.0,0.3,0.8,0.1,1.0,0.9,0.0,0.4,0.5975533754416289,46496.14126896858,46523.2902007103
