0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,score,eval_times,iter_times
0.8,0.3,0.8,0.2,0.6,0.6,0.1,1.0,0.7,0.0,0.1,0.5,0.1,0.6,0.9,0.8,0.2,0.0,0.4,0.8,0.4,0.0,0.9,0.3,0.0,1.0,0.3,0.5973619972922821,74835.46058797836,74841.34073328972
0.7,0.5,0.5,0.0,0.3,0.7,0.3,1.0,0.7,0.2,0.7,0.5,0.6,0.6,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,0.3,0.1,0.8,0.5532127765962094,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,0.8,0.7,0.2,0.7,0.5,0.6,0.6,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.5,0.3,0.1,0.8,0.5794407037558258,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,0.8,0.7,0.3,0.7,0.5,0.6,0.6,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.5,0.3,0.1,0.8,0.5791556351943511,74835.46058797836,74841.34073328972
0.7,0.5,0.3,1.0,0.1,0.7,0.3,0.8,0.7,0.2,0.7,0.5,1.0,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,1.0,0.1,0.8,0.5731121311199717,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.603105153953319,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.6005695591123813,74835.46058797836,74841.34073328972
0.7,0.5,0.3,1.0,0.3,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.5806614784206198,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.6031938949503828,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.2,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.6058583634730619,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,0.8,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.6051651363247836,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.6010522427183416,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,0.8,0.7,0.2,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.6020654249972186,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.6078264628010817,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.6,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.6001631556288177,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,1.0,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.5874735671014751,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,0.8,0.7,0.2,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.6011335735854487,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,0.8,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.6051601674667972,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.6052087699146838,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.2,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.6057323051612845,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,0.8,0.7,0.2,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.5957722344977182,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.6,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.5713325419388258,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,0.8,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.5977050315041491,74835.46058797836,74841.34073328972
0.7,0.5,0.3,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.5881153543089358,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,1.0,0.1,0.8,0.5878203841327466,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.2,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.6013585817240747,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.6048773270438067,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,0.8,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.6000330172190511,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,1.0,0.7,0.2,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.5,0.3,0.1,0.8,0.5942005514248017,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,0.8,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.5953266994106158,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,0.3,0.1,0.8,0.6059469700290235,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,0.8,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,0.3,0.1,0.8,0.5981037474339908,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,0.3,0.1,0.8,0.6040253431072208,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,0.3,0.1,0.8,0.605079638509759,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.2,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,0.3,0.1,0.8,0.6044188025193818,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,0.3,0.1,0.8,0.602087624430308,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,1.0,0.7,0.2,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,0.3,0.1,0.8,0.603527872380614,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.2,0.7,0.5,0.6,0.3,0.6,0.9,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,0.3,0.1,0.8,0.6004080245159384,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,1.0,0.1,0.8,0.5759825521403036,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.1,0.7,0.3,1.0,0.7,0.3,0.7,0.5,1.0,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.2,0.3,0.1,0.3,0.1,0.8,0.5903024217828235,74835.46058797836,74841.34073328972
0.7,0.5,0.5,1.0,0.3,0.7,0.3,0.8,0.7,0.3,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.8,0.2,0.2,0.6,0.8,0.3,0.1,0.3,0.1,0.8,0.6053763382392947,74835.46058797836,74841.34073328972
