0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,score,eval_times,iter_times
0.3,0.8,1.0,0.5,1.0,0.0,0.7,0.9,0.5,0.9,0.2,0.2,0.6,0.9,0.0,0.3,0.3,1.0,1.0,0.8,0.2,0.7,0.0,1.0,0.3,0.2,0.2,0.49670393266987295,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.6,0.1,0.1,0.3,0.9,0.1,0.2,0.2,0.9,0.6,0.2,0.4,0.1,0.5,0.9,0.1,0.9,0.9,0.466171466820965,49568.4690990448,49571.32318878174
0.0,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.6,0.8,1.0,0.3,0.9,0.1,0.2,0.2,0.9,0.6,0.2,0.4,0.1,0.5,0.9,0.1,0.9,0.9,0.4701982386753982,49568.4690990448,49571.32318878174
0.0,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.6,0.8,1.0,0.1,0.9,0.1,0.2,0.2,0.9,0.6,0.2,0.4,0.1,0.6,0.9,0.1,0.9,0.9,0.4752356181804124,49568.4690990448,49571.32318878174
0.0,0.1,0.8,0.2,0.4,1.0,0.0,0.6,0.5,0.0,0.1,1.0,0.1,0.1,0.1,0.2,0.2,0.2,0.6,0.2,0.7,0.1,0.5,0.6,0.1,0.9,0.9,0.46458414908491663,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.1,1.0,0.0,0.6,0.5,0.6,0.8,0.1,0.1,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.4,0.1,0.5,0.9,0.1,0.9,0.9,0.4638376623738254,49568.4690990448,49571.32318878174
0.0,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.0,0.8,0.1,0.1,0.9,0.1,0.2,0.2,0.2,0.6,0.2,0.7,0.1,0.5,0.6,0.1,0.9,0.9,0.46975248947173515,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.6,0.8,1.0,0.1,0.1,0.1,0.2,0.2,0.2,0.6,0.2,0.4,0.1,0.6,0.6,0.1,0.9,0.9,0.4659183780972741,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.4,1.0,0.0,0.6,0.5,0.0,0.8,1.0,0.3,0.9,0.1,0.2,0.2,0.9,0.6,0.2,0.7,0.1,0.6,0.9,0.1,0.9,0.9,0.4759012370536316,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.1,0.1,0.0,0.6,0.5,0.0,0.1,1.0,0.1,0.9,0.1,0.2,0.2,0.9,0.6,0.2,0.7,0.1,0.5,0.6,0.1,0.9,0.9,0.470414120785307,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.4,1.0,0.0,0.6,0.5,0.6,0.1,1.0,0.3,0.9,0.1,0.2,0.2,0.2,0.6,0.2,0.4,0.1,0.5,0.9,0.1,0.9,0.9,0.4504331984030068,49568.4690990448,49571.32318878174
0.0,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.0,0.8,0.1,0.3,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.7,0.1,0.6,0.9,0.1,0.9,0.9,0.4827233366174136,49568.4690990448,49571.32318878174
0.0,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.0,0.8,1.0,0.3,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.7,0.1,0.5,0.9,0.1,0.9,0.9,0.483618919930228,49568.4690990448,49571.32318878174
0.0,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.0,0.1,0.1,0.3,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.7,0.1,0.5,0.6,0.1,0.9,0.9,0.46157537008707883,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.1,0.1,0.0,0.6,0.5,0.0,0.8,1.0,0.1,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.7,0.1,0.6,0.9,0.1,0.9,0.9,0.4900413328212252,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.0,0.8,1.0,0.1,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.4,0.1,0.6,0.9,0.1,0.9,0.9,0.48481192687495606,49568.4690990448,49571.32318878174
0.0,0.1,0.8,0.2,0.1,0.1,0.0,0.6,0.5,0.0,0.8,1.0,0.1,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.4,0.1,0.6,0.9,0.1,0.9,0.9,0.4708727564393034,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.0,0.8,1.0,0.3,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.7,0.1,0.6,0.9,0.1,0.9,0.9,0.48522394477230907,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.4,0.1,0.0,0.6,0.5,0.0,0.8,1.0,0.1,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.7,0.1,0.5,0.6,0.1,0.9,0.9,0.47120312132624975,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.1,0.1,0.0,0.6,0.5,0.0,0.8,1.0,0.3,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.7,0.1,0.6,0.9,0.1,0.9,0.9,0.49482538061924203,49568.4690990448,49571.32318878174
0.4,0.1,0.8,0.2,0.1,0.1,0.0,0.6,0.5,0.0,0.8,1.0,0.3,0.1,0.1,0.2,0.2,0.9,0.6,0.2,0.7,0.1,0.5,0.9,0.1,0.9,0.9,0.49617789709352034,49568.4690990448,49571.32318878174
