+-------------------------------------------------------------+------------+
|                           Modules                           | Parameters |
|        single_transformer_blocks.2.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.2.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.3.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.3.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.3.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.3.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.3.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.3.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.3.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.3.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.4.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.4.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.4.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.4.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.4.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.4.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.4.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.4.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.5.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.5.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.5.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.5.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.5.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.5.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.5.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.5.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.6.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.6.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.6.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.6.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.6.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.6.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.6.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.6.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.7.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.7.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.7.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.7.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.7.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.7.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.7.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.7.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.8.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.8.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.8.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.8.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.8.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.8.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.8.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.8.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.9.norm1.linear.weight       |  56623104  |
|         single_transformer_blocks.9.attn.to_q.weight        |  9437184   |
|         single_transformer_blocks.9.attn.to_k.weight        |  9437184   |
|         single_transformer_blocks.9.attn.to_v.weight        |  9437184   |
|       single_transformer_blocks.9.attn.to_out.0.weight      |  9437184   |
|        single_transformer_blocks.9.ff.linear_1.weight       |  25165824  |
|        single_transformer_blocks.9.ff.linear_2.weight       |  25165824  |
|     single_transformer_blocks.9.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.10.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.10.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.10.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.10.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.10.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.10.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.10.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.10.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.11.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.11.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.11.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.11.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.11.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.11.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.11.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.11.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.12.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.12.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.12.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.12.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.12.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.12.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.12.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.12.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.13.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.13.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.13.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.13.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.13.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.13.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.13.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.13.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.14.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.14.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.14.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.14.attn.to_v.weight        |  9437184   |
