,DSS,MSS,RSC,MPS,INT,FEL,BLO,ROS,CUM,s1,s2,s3,s4,POV,SID,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,t1,t2,g1,g2,b1,b2
w15,0.9107,0.9445,0.8695,0.9424,0.9456,0.9442,0.9396,0.9277,0.9594,0.9491,0.9486,0.9486,0.9623,0.9441,0.9243,0.9375,0.9603,0.9514,0.9525,0.9576,0.9669,0.9454,0.9495,0.9505,0.9564,0.9477,0.9517,0.9554,0.9549,1.0,0.9533,0.9618,0.9579,0.9404,0.949,0.9363,0.9565,0.9559,0.9613,0.9411,0.9409,0.9498
w16,0.9049,0.9467,0.866,0.9401,0.9411,0.9429,0.937,0.9207,0.9582,0.943,0.9408,0.9401,0.9611,0.9489,0.9201,0.9401,0.9608,0.9424,0.9373,0.9546,0.956,0.9387,0.9419,0.9487,0.9564,0.946,0.9233,0.9406,0.9478,0.9533,1.0,0.9488,0.9575,0.9417,0.9501,0.9441,0.9532,0.9529,0.9572,0.9385,0.9484,0.9518
w17,0.9081,0.9431,0.866,0.9351,0.9421,0.9453,0.9348,0.9241,0.9603,0.9439,0.9393,0.9374,0.9576,0.9478,0.9176,0.936,0.9606,0.9497,0.9451,0.9578,0.9632,0.9435,0.946,0.9467,0.9588,0.9484,0.926,0.9465,0.9543,0.9618,0.9488,1.0,0.9587,0.9423,0.9477,0.9321,0.956,0.9533,0.9609,0.9374,0.9472,0.9534
w18,0.9021,0.9448,0.8659,0.9388,0.9379,0.9389,0.9322,0.9189,0.963,0.9418,0.9411,0.9395,0.9633,0.9465,0.9138,0.9481,0.9649,0.9489,0.9471,0.9635,0.9661,0.9368,0.9427,0.9527,0.962,0.9511,0.9175,0.9478,0.9625,0.9579,0.9575,0.9587,1.0,0.9404,0.9605,0.9295,0.9573,0.9563,0.966,0.9358,0.9573,0.9612
w19,0.9264,0.947,0.8768,0.943,0.9512,0.9539,0.9487,0.9344,0.9507,0.9517,0.9559,0.9511,0.9564,0.9307,0.9247,0.9258,0.9428,0.9362,0.9294,0.9439,0.947,0.9491,0.9513,0.9361,0.9382,0.9296,0.9184,0.9328,0.9412,0.9404,0.9417,0.9423,0.9404,1.0,0.9347,0.9454,0.9356,0.9404,0.9438,0.9429,0.9316,0.9407
w20,0.8987,0.9386,0.8618,0.9307,0.9358,0.9368,0.9276,0.9149,0.9545,0.9356,0.9356,0.9306,0.9621,0.9381,0.9101,0.9504,0.9562,0.9436,0.9367,0.951,0.9516,0.9288,0.9341,0.9509,0.9529,0.9393,0.9136,0.9399,0.9522,0.949,0.9501,0.9477,0.9605,0.9347,1.0,0.9259,0.9514,0.9466,0.9538,0.9316,0.947,0.9481
w21,0.9171,0.9407,0.8714,0.9407,0.94,0.9562,0.942,0.9202,0.9373,0.9589,0.948,0.9442,0.94,0.9268,0.9202,0.9217,0.9363,0.9286,0.9235,0.9326,0.9403,0.9406,0.9405,0.9277,0.9325,0.9242,0.9175,0.9256,0.9265,0.9363,0.9441,0.9321,0.9295,0.9454,0.9259,1.0,0.9285,0.9345,0.9347,0.935,0.927,0.9303
t1,0.904,0.9448,0.8641,0.9363,0.9388,0.9374,0.9317,0.9206,0.9559,0.9391,0.9356,0.9333,0.9595,0.9478,0.9136,0.9401,0.9624,0.9454,0.9412,0.9584,0.9587,0.9378,0.9404,0.9538,0.9664,0.9487,0.9184,0.9445,0.9529,0.9565,0.9532,0.956,0.9573,0.9356,0.9514,0.9285,1.0,0.9515,0.9658,0.9356,0.9502,0.9547
t2,0.9096,0.9406,0.8668,0.9416,0.9419,0.939,0.9352,0.9215,0.9586,0.9411,0.9411,0.9527,0.9584,0.9422,0.9194,0.9375,0.9572,0.9478,0.9441,0.9541,0.9586,0.9422,0.9461,0.948,0.9578,0.9438,0.922,0.9467,0.9516,0.9559,0.9529,0.9533,0.9563,0.9404,0.9466,0.9345,0.9515,1.0,0.956,0.9439,0.9441,0.95
g1,0.9118,0.9463,0.8746,0.9418,0.9448,0.9436,0.9407,0.9289,0.9637,0.9455,0.9428,0.9433,0.9629,0.9469,0.9217,0.9432,0.964,0.9506,0.9462,0.965,0.9643,0.9441,0.9488,0.954,0.9663,0.9584,0.923,0.9537,0.9607,0.9613,0.9572,0.9609,0.966,0.9438,0.9538,0.9347,0.9658,0.956,1.0,0.946,0.9577,0.9596
g2,0.9137,0.9378,0.8786,0.9443,0.9389,0.9454,0.9461,0.9249,0.9407,0.9443,0.9402,0.9435,0.9398,0.9307,0.922,0.925,0.9412,0.9303,0.9289,0.938,0.9415,0.9491,0.9532,0.9316,0.9389,0.9343,0.9177,0.9296,0.9326,0.9411,0.9385,0.9374,0.9358,0.9429,0.9316,0.935,0.9356,0.9439,0.946,1.0,0.9305,0.9299
b1,0.897,0.9433,0.8607,0.9391,0.9292,0.9403,0.9282,0.9162,0.9551,0.931,0.9306,0.9252,0.9522,0.9359,0.9079,0.9333,0.9544,0.9388,0.9353,0.953,0.9495,0.927,0.9307,0.9422,0.952,0.9395,0.9069,0.9329,0.9453,0.9409,0.9484,0.9472,0.9573,0.9316,0.947,0.927,0.9502,0.9441,0.9577,0.9305,1.0,0.9486
b2,0.9038,0.9407,0.861,0.9355,0.9314,0.9377,0.9246,0.9209,0.9607,0.9359,0.9401,0.9314,0.9599,0.9438,0.9127,0.9382,0.9581,0.944,0.9393,0.9589,0.9591,0.9329,0.9363,0.9452,0.9559,0.9449,0.9121,0.9426,0.9546,0.9498,0.9518,0.9534,0.9612,0.9407,0.9481,0.9303,0.9547,0.95,0.9596,0.9299,0.9486,1.0
