,DSS,MSS,RSC,MPS,INT,FEL,BLO,ROS,CUM,s1,s2,s3,s4,POV,SID,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,t1,t2,g1,g2,b1,b2
w8,73.4652,64.1813,94.1892,61.4484,60.2817,58.1942,62.7544,67.6032,57.302,59.017,59.0053,58.5359,58.0911,70.7229,66.6269,71.5065,58.0131,62.8789,63.8717,54.2504,53.4655,30.5177,0.0,64.3742,59.9038,65.5263,73.756,66.8135,60.918,54.5022,59.2988,56.3891,56.3358,58.0338,64.6496,62.2357,61.783,57.8522,53.0934,57.7844,66.7361,62.6721
w9,82.9858,63.0781,96.4379,66.266,65.3022,65.7692,71.907,74.9509,56.5728,64.5433,67.8426,64.9574,57.2433,64.4857,72.0027,65.0119,55.767,64.8893,63.2902,58.8057,55.7053,66.4277,64.3742,0.0,48.9415,64.9226,78.0508,66.6278,59.6938,57.483,59.2552,60.0709,54.9439,64.3629,57.6251,69.5866,58.0995,59.687,53.7271,67.5182,62.0189,60.5211
w10,78.2237,58.2225,94.0361,60.4935,62.0484,61.1457,67.9648,70.9228,51.9062,61.0319,64.6817,65.0933,53.26,60.9526,70.1986,63.2003,49.3352,61.4511,62.397,54.8157,50.6221,62.0202,59.9038,48.9415,0.0,62.1797,78.0899,64.5948,52.8919,54.5863,53.2761,53.1509,49.5453,63.7712,57.0676,66.984,51.1187,54.6544,46.9742,64.4278,56.9928,54.4949
w11,86.1244,69.8415,100.1743,70.693,71.0639,67.4179,71.592,78.4162,59.6426,69.281,69.3334,73.6547,63.3014,65.2007,78.2558,71.5406,60.4806,67.1375,67.1889,62.1315,58.8644,67.8231,65.5263,64.9226,62.1797,0.0,80.8655,72.1492,62.0787,61.6969,61.7145,61.4519,57.726,71.1062,66.0918,73.3319,63.1249,64.4677,53.8781,67.9612,65.9315,62.6136
w12,88.2728,78.3507,102.8158,77.0525,75.538,73.2351,68.4846,80.3099,76.5496,74.1672,73.9617,74.0048,74.7354,73.6298,79.7946,82.5987,77.093,80.0253,77.2824,79.9807,74.1991,73.9754,73.756,78.0508,78.0899,80.8655,0.0,82.1309,79.1303,59.8996,74.0392,73.5238,76.1608,76.6045,79.2993,76.5075,80.2892,76.4515,74.6599,77.4248,82.2655,79.7272
w13,86.1413,70.2032,99.4861,70.9291,71.0234,67.8088,70.5554,76.2659,61.4021,68.6849,71.3866,70.9275,62.4625,72.1735,75.6716,72.7966,64.0113,68.5833,69.019,62.9114,62.3253,70.1396,66.8135,66.6278,64.5948,72.1492,82.1309,0.0,61.4577,59.6215,66.5387,64.668,63.497,69.6067,68.5512,72.6465,68.3695,65.1303,60.9223,71.9286,72.5816,67.6881
w14,80.7838,62.9464,93.4874,63.2975,63.3086,62.6756,70.6438,70.548,49.2861,60.7991,62.5845,63.9339,53.2348,63.2381,74.359,61.3287,49.9218,60.5037,61.4865,55.7303,50.9573,63.7533,60.918,59.6938,52.8919,62.0787,79.1303,61.4577,0.0,53.6123,56.8178,54.427,49.0998,60.7986,55.7357,68.2039,58.77,56.7966,50.2284,66.5075,59.2545,55.1251
w15,79.2344,60.6307,95.1514,58.558,59.3657,56.8589,65.1013,68.5665,50.4714,56.266,57.9564,56.7681,49.1534,62.7747,67.9844,64.7052,50.784,59.0825,55.3699,54.3504,45.7827,57.1561,54.5022,57.483,54.5863,61.6969,59.8996,59.6215,53.6123,0.0,52.4391,50.0592,50.0264,60.7651,57.3523,62.0313,56.6668,54.1057,48.7022,61.0026,61.603,57.5622
w16,80.8784,59.1226,94.7382,58.9822,61.6274,57.1667,65.8834,70.8856,51.2636,56.8457,61.0126,60.4567,48.9811,59.4163,68.9099,62.022,47.9083,61.792,62.8633,55.5387,51.3258,60.3405,59.2988,59.2552,53.2761,61.7145,74.0392,66.5387,56.8178,52.4391,0.0,56.3545,49.4083,60.8713,56.2279,56.7743,57.5523,55.3671,48.9819,62.4122,57.3083,54.7326
w17,80.8739,61.5169,97.3268,62.925,62.8137,57.3095,68.5426,71.4452,49.561,60.9166,63.2681,64.6972,53.8082,60.9333,72.9248,65.2334,50.6429,59.667,59.2279,53.8335,48.0048,57.6465,56.3891,60.0709,53.1509,61.4519,73.5238,64.668,54.427,50.0592,56.3545,0.0,48.6187,62.1253,58.5851,65.4983,57.0917,54.5165,49.1348,63.496,59.0085,54.1628
